Date,HomeTeam,AwayTeam,BetSide,Odds,Profit,FactorValue
2023-02-18T16:00:00.000Z,Manchester Utd,Leicester,home,1.84,84.00000000000001,41.83098591549296
2023-09-23T16:00:00.000Z,Brighton,Bournemouth,home,1.93,93,41.642857142857146
2023-05-20T16:00:00.000Z,Manchester City,Chelsea,home,1.95,95,41.25
2024-09-20T16:00:00.000Z,Aston Villa,Wolves,home,2.03,102.99999999999999,41.16666666666667
2025-01-04T16:00:00.000Z,Fulham,Ipswich,home,1.86,0,41.13475177304965
2025-05-17T16:00:00.000Z,Everton,Southampton,home,1.86,86.00000000000001,41.015625
2024-04-05T16:00:00.000Z,Aston Villa,Brentford,home,1.98,0,41.00671140939597
2025-02-26T16:00:00.000Z,Liverpool,Newcastle,home,1.72,72,40.599999999999994
2023-12-28T16:00:00.000Z,Arsenal,West Ham,home,1.97,-100,40.5982905982906
2023-10-23T16:00:00.000Z,Tottenham,Fulham,home,1.97,97,40
2025-05-24T16:00:00.000Z,Bournemouth,Leicester,home,2.12,112.00000000000001,39.34426229508197
2024-03-09T16:00:00.000Z,West Ham,Burnley,home,1.78,0,38.94039735099338
2024-02-24T16:00:00.000Z,Wolves,Sheff Utd,home,2,100,38.208955223880594
2025-05-16T16:00:00.000Z,Chelsea,Manchester Utd,home,1.91,90.99999999999999,38.19444444444445
2024-09-14T16:00:00.000Z,Aston Villa,Everton,home,2.03,102.99999999999999,37.38562091503268
2023-03-15T16:00:00.000Z,Brighton,Crystal Palace,home,1.75,75,37.2983870967742
2024-05-18T16:00:00.000Z,Chelsea,Bournemouth,home,1.71,71,36.96
2024-12-21T16:00:00.000Z,Fulham,Southampton,home,1.89,0,36.80555555555556
2023-11-11T16:00:00.000Z,Aston Villa,Fulham,home,1.75,75,36.54362416107383
2024-01-31T16:00:00.000Z,Tottenham,Brentford,home,1.89,88.99999999999999,36.41379310344828
2023-03-18T16:00:00.000Z,Chelsea,Everton,home,1.96,0,36.36363636363636
2022-08-26T16:00:00.000Z,Chelsea,Leicester,home,1.8,80,36.328125
2024-02-02T16:00:00.000Z,Newcastle,Luton,home,2.08,0,36.2589928057554
2022-12-27T16:00:00.000Z,Chelsea,Bournemouth,home,2.14,114.00000000000001,35.86065573770492
2025-04-25T16:00:00.000Z,Chelsea,Everton,home,1.97,97,35.78947368421052
2023-02-10T16:00:00.000Z,Arsenal,Brentford,home,2.04,0,35.77777777777778
2025-02-21T16:00:00.000Z,Bournemouth,Wolves,home,1.73,-100,35.67567567567568
2023-05-03T16:00:00.000Z,Liverpool,Fulham,home,2.01,100.99999999999997,35.416666666666664
2023-05-02T16:00:00.000Z,Arsenal,Chelsea,home,1.99,99,35.374149659863946
2024-03-08T16:00:00.000Z,Bournemouth,Sheff Utd,home,2.08,0,35.12396694214876
