Date,HomeTeam,AwayTeam,Score,HandicapLine,BetSide,BetOdds,Profit,Result,FactorValue,FactorComponents,AHResult
2022-11-05T16:00:00.000Z,Everton,Leicester,0-2,0/-0.5,HOME,2.050,-100.00,LOSS,0.0000,F1:0,away
2022-11-05T16:00:00.000Z,Chelsea,Arsenal,3-1,0,HOME,1.970,-100.00,LOSS,0.0000,F1:0,away
2022-11-05T16:00:00.000Z,Aston Villa,Manchester Utd,3-1,0/+0.5,HOME,1.930,93.00,WIN,0.0000,F1:0,home
2022-11-06T16:00:00.000Z,Tottenham,Liverpool,1-2,0/+0.5,HOME,2.170,-100.00,LOSS,0.0000,F1:0,away
2022-11-11T16:00:00.000Z,West Ham,Leicester,2-1,0/-0.5,HOME,1.760,-100.00,LOSS,0.0000,F1:0,away
2022-11-11T16:00:00.000Z,Bournemouth,Everton,3-0,0,HOME,1.960,96.00,WIN,0.0000,F1:0,home
2022-11-11T16:00:00.000Z,Nottingham Forest,Crystal Palace,1-1,0/+0.5,HOME,1.850,85.00,WIN,0.0000,F1:0,home
2022-11-11T16:00:00.000Z,Liverpool,Southampton,3-1,-1.5/-2,AWAY,1.980,-100.00,LOSS,-1.5000,F1:-1.5,home
2022-11-11T16:00:00.000Z,Manchester City,Brentford,1-2,-2/-2.5,AWAY,1.890,89.00,WIN,-2.0000,F1:-2,away
2022-11-12T16:00:00.000Z,Wolves,Arsenal,0-2,+1,HOME,1.950,-100.00,LOSS,1.0000,F1:1,away
2022-11-12T16:00:00.000Z,Newcastle,Chelsea,1-1,0/-0.5,HOME,1.780,78.00,WIN,0.0000,F1:0,home
2022-11-13T16:00:00.000Z,Fulham,Manchester Utd,1-2,+0.5/+1,HOME,1.860,-100.00,LOSS,0.5000,F1:0.5,away
2022-12-25T16:00:00.000Z,Southampton,Brighton,1-3,0/+0.5,HOME,2.030,-100.00,LOSS,0.0000,F1:0,away
2022-12-25T16:00:00.000Z,Leicester,Newcastle,0-3,0/+0.5,HOME,2.040,-100.00,LOSS,0.0000,F1:0,away
2022-12-25T16:00:00.000Z,Everton,Wolves,1-2,0/-0.5,HOME,2.080,-100.00,LOSS,0.0000,F1:0,away
2022-12-25T16:00:00.000Z,Crystal Palace,Fulham,0-3,0/-0.5,HOME,1.900,-100.00,LOSS,0.0000,F1:0,away
2022-12-25T16:00:00.000Z,Brentford,Tottenham,1-3,0/+0.5,HOME,2.000,0.00,PUSH,0.0000,F1:0,draw
2022-12-26T16:00:00.000Z,Aston Villa,Liverpool,1-3,+0.5/+1,HOME,2.020,-100.00,LOSS,0.5000,F1:0.5,away
2022-12-26T16:00:00.000Z,Arsenal,West Ham,3-1,-1,AWAY,1.950,-100.00,LOSS,-1.0000,F1:-1,home
2022-12-27T16:00:00.000Z,Manchester Utd,Nottingham Forest,3-0,-1.5/-2,AWAY,1.770,-100.00,LOSS,-1.5000,F1:-1.5,home
2022-12-27T16:00:00.000Z,Chelsea,Bournemouth,2-0,-1.5/-2,AWAY,1.720,-100.00,LOSS,-1.5000,F1:-1.5,home
2022-12-28T16:00:00.000Z,Leeds,Manchester City,1-3,+1.5/+2,HOME,1.970,-100.00,LOSS,1.5000,F1:1.5,away
2022-12-30T16:00:00.000Z,Wolves,Manchester Utd,0-1,+0.5/+1,HOME,1.750,-100.00,LOSS,0.5000,F1:0.5,away
2022-12-30T16:00:00.000Z,West Ham,Brentford,2-0,0/-0.5,HOME,1.750,-100.00,LOSS,0.0000,F1:0,away
2022-12-30T16:00:00.000Z,Bournemouth,Crystal Palace,2-0,0,HOME,2.030,-100.00,LOSS,0.0000,F1:0,away
2022-12-30T16:00:00.000Z,Newcastle,Leeds,0-0,-1/-1.5,AWAY,1.890,89.00,WIN,-1.0000,F1:-1,away
2022-12-30T16:00:00.000Z,Liverpool,Leicester,2-1,-1.5/-2,AWAY,2.140,114.00,WIN,-1.5000,F1:-1.5,away
2022-12-30T16:00:00.000Z,Manchester City,Everton,0-3,-2/-2.5,AWAY,2.070,107.00,WIN,-2.0000,F1:-2,away
2022-12-31T16:00:00.000Z,Brighton,Arsenal,2-4,+0.5/+1,HOME,1.800,-100.00,LOSS,0.5000,F1:0.5,away
2023-01-01T16:00:00.000Z,Nottingham Forest,Chelsea,1-1,+1,HOME,1.890,89.00,WIN,1.0000,F1:1,home
2023-01-02T16:00:00.000Z,Brentford,Liverpool,3-1,+1,HOME,2.070,107.00,WIN,1.0000,F1:1,home
2023-01-03T16:00:00.000Z,Everton,Brighton,1-4,0/+0.5,HOME,1.860,-100.00,LOSS,0.0000,F1:0,away
2023-01-03T16:00:00.000Z,Leicester,Fulham,0-1,0/-0.5,HOME,2.020,-100.00,LOSS,0.0000,F1:0,away
2023-01-03T16:00:00.000Z,Manchester Utd,Bournemouth,3-0,-1.5/-2,AWAY,1.900,-100.00,LOSS,-1.5000,F1:-1.5,home
2023-01-04T16:00:00.000Z,Southampton,Nottingham Forest,0-1,0/-0.5,HOME,1.960,-100.00,LOSS,0.0000,F1:0,away
2023-01-04T16:00:00.000Z,Crystal Palace,Tottenham,0-4,0/+0.5,HOME,1.980,-100.00,LOSS,0.0000,F1:0,away
2023-01-04T16:00:00.000Z,Leeds,West Ham,2-2,0,HOME,1.990,0.00,PUSH,0.0000,F1:0,draw
2023-01-05T16:00:00.000Z,Chelsea,Manchester City,0-1,+0.5/+1,HOME,2.110,-100.00,LOSS,0.5000,F1:0.5,away
2023-01-12T16:00:00.000Z,Fulham,Chelsea,2-1,0/+0.5,HOME,2.190,119.00,WIN,0.0000,F1:0,home
2023-01-13T16:00:00.000Z,Manchester Utd,Manchester City,2-1,+0.5/+1,HOME,1.790,79.00,WIN,0.5000,F1:0.5,home
2023-01-13T16:00:00.000Z,Wolves,West Ham,1-0,0/-0.5,HOME,2.070,107.00,WIN,0.0000,F1:0,home
2023-01-13T16:00:00.000Z,Nottingham Forest,Leicester,2-0,0,HOME,1.890,89.00,WIN,0.0000,F1:0,home
2023-01-13T16:00:00.000Z,Everton,Southampton,1-2,0/-0.5,HOME,1.950,-100.00,LOSS,0.0000,F1:0,away
2023-01-13T16:00:00.000Z,Brighton,Liverpool,3-3,0/+0.5,HOME,1.780,78.00,WIN,0.0000,F1:0,home
2023-01-14T16:00:00.000Z,Brentford,Bournemouth,2-0,-1,AWAY,1.840,-100.00,LOSS,-1.0000,F1:-1,home
2023-01-14T16:00:00.000Z,Newcastle,Fulham,1-0,-1/-1.5,AWAY,1.810,0.00,PUSH,-1.0000,F1:-1,draw
2023-01-15T16:00:00.000Z,Tottenham,Arsenal,0-2,0/+0.5,HOME,1.980,-100.00,LOSS,0.0000,F1:0,away
2023-01-18T16:00:00.000Z,Crystal Palace,Manchester Utd,1-1,+0.5/+1,HOME,2.080,108.00,WIN,0.5000,F1:0.5,home
2023-01-19T16:00:00.000Z,Manchester City,Tottenham,4-2,-1/-1.5,AWAY,1.830,-100.00,LOSS,-1.0000,F1:-1,home
